version t_exec t_proc t_comm
p2p-cons 180.933859 4.227233 176.706626
p2p-cycl 134.571439 39.735787 94.835652
bcast-cons 167.440713 4.181136 163.259577
bcast-cycl 95.114568 35.212253 59.902315
