version t_exec t_proc t_comm
p2p-cons 19.869906 2.095706 17.774200
p2p-cycl 12.639379 5.228864 7.410515
bcast-cons 19.995781 2.283330 17.712451
bcast-cycl 10.952597 5.215796 5.736801
