version t_exec t_proc t_comm
p2p-cons 157.561113 25.385518 132.175595
p2p-cycl 93.304751 65.838474 27.466277
bcast-cons 157.169989 28.267348 128.902640
bcast-cycl 85.300650 63.706633 21.594017
