version t_exec t_proc t_comm
p2p-cons 146.381747 64.147511 82.234236
p2p-cycl 85.802386 81.611570 4.190816
bcast-cons 146.623928 63.968382 82.655546
bcast-cycl 85.816896 81.442872 4.374024
