version t_exec t_proc t_comm
p2p-cons 25.486657 0.259234 25.227423
p2p-cycl 19.468137 1.296602 18.171535
bcast-cons 21.780681 0.213511 21.567170
bcast-cycl 13.071890 1.427309 11.644581
