version t_exec t_proc t_comm
p2p-cons 3.750653 0.036663 3.713990
p2p-cycl 2.631519 0.162754 2.468765
bcast-cons 2.920668 0.088306 2.832362
bcast-cycl 1.872581 0.162520 1.710061
