version t_exec t_proc t_comm
p2p-cons 24.971733 0.616299 24.355434
p2p-cycl 15.515138 2.534512 12.980626
bcast-cons 21.173858 0.658669 20.515189
bcast-cycl 11.908034 2.717863 9.190171
