version t_exec t_proc t_comm
p2p-cons 18.413588 8.037155 10.376433
p2p-cycl 10.909701 10.314460 0.595241
bcast-cons 18.429040 8.073708 10.355332
bcast-cycl 10.881995 10.327557 0.554438
