version t_exec t_proc t_comm
p2p-cons 164.817565 10.438400 154.379165
p2p-cycl 107.806622 53.814845 53.991777
bcast-cons 163.979865 11.007755 152.972110
bcast-cycl 88.049477 53.317043 34.732435
