version t_exec t_proc t_comm
p2p-cons 2.297178 1.014729 1.282449
p2p-cycl 1.343871 1.263286 0.080585
bcast-cons 2.294411 1.007424 1.286987
bcast-cycl 1.365202 1.323242 0.041960
