version t_exec t_proc t_comm
p2p-cons 3.147086 0.083116 3.063970
p2p-cycl 1.794164 0.312858 1.481306
bcast-cons 2.670839 0.200686 2.470153
bcast-cycl 1.559052 0.314010 1.245042
