P p2p-cons p2p-cycl bcast-cons bcast-cycl
2 1.6100958705 2.7175485377 1.6087458706 2.7244675264
4 1.4920876827 2.3456565389 1.4826948744 2.7069052207
8 1.1872480776 1.9108848403 1.4002002847 2.4897176141
16 1.1632613096 1.5228802838 1.3611898544 2.2680455542
