P p2p-cons p2p-cycl bcast-cons bcast-cycl
2 1.6165669890 2.7579174779 1.6138968804 2.7574511667
4 1.5018674055 2.5361613150 1.5056048645 2.7741394702
8 1.4357444244 2.1950033830 1.4430790024 2.6875332831
16 1.3078585805 1.7584407342 1.4132518654 2.4879038508
