N size rank blocking_factor t_exec t_proc t_comm
1024 16 0 64 1.872581 0.162520 1.710061 
1024 16 1 64 1.869846 0.142960 1.726886 
1024 16 2 64 1.871015 0.140890 1.730125 
1024 16 3 64 1.843730 0.141408 1.702322 
1024 16 4 64 1.870819 0.143550 1.727269 
1024 16 5 64 1.869585 0.143496 1.726089 
1024 16 6 64 1.871724 0.143665 1.728059 
1024 16 7 64 1.870465 0.147582 1.722883 
1024 16 8 64 1.882356 0.144986 1.737370 
1024 16 9 64 1.870248 0.143868 1.726380 
1024 16 10 64 1.882307 0.145684 1.736622 
1024 16 11 64 1.868205 0.142896 1.725309 
1024 16 12 64 1.881333 0.144644 1.736689 
1024 16 13 64 1.871983 0.147483 1.724500 
1024 16 14 64 1.871699 0.145062 1.726637 
1024 16 15 64 1.856037 0.145629 1.710408 
