N size rank blocking_factor t_exec t_proc t_comm
2048 16 0 128 19.468137 1.296602 18.171535 
2048 16 1 128 19.474645 1.274918 18.199727 
2048 16 2 128 19.473494 1.247434 18.226060 
2048 16 3 128 19.470173 1.258197 18.211976 
2048 16 4 128 19.468043 1.186117 18.281926 
2048 16 5 128 19.466771 1.178851 18.287920 
2048 16 6 128 19.474392 1.158101 18.316291 
2048 16 7 128 19.465886 1.216617 18.249269 
2048 16 8 128 19.466514 1.285299 18.181215 
2048 16 9 128 19.469210 1.293248 18.175962 
2048 16 10 128 19.435558 1.273084 18.162474 
2048 16 11 128 19.470430 1.231220 18.239210 
2048 16 12 128 19.469379 1.197356 18.272023 
2048 16 13 128 19.475624 1.270462 18.205162 
2048 16 14 128 19.468255 1.183235 18.285020 
2048 16 15 128 19.436629 1.213877 18.222752 
