N size rank blocking_factor t_exec t_proc t_comm
4096 16 0 256 134.571439 39.735787 94.835652 
4096 16 1 256 134.574068 36.137886 98.436182 
4096 16 2 256 134.576129 38.049600 96.526529 
4096 16 3 256 134.575246 35.877872 98.697374 
4096 16 4 256 134.566933 44.753289 89.813644 
4096 16 5 256 134.574201 33.525226 101.048975 
4096 16 6 256 134.572420 31.203594 103.368826 
4096 16 7 256 134.573418 30.634299 103.939119 
4096 16 8 256 134.568761 38.713437 95.855324 
4096 16 9 256 134.576902 36.097452 98.479450 
4096 16 10 256 134.571936 33.136590 101.435346 
4096 16 11 256 134.564968 35.116882 99.448086 
4096 16 12 256 134.568971 29.182958 105.386013 
4096 16 13 256 134.547783 29.359220 105.188563 
4096 16 14 256 134.547690 26.450658 108.097032 
4096 16 15 256 134.546611 37.627654 96.918957 
