N size rank blocking_factor t_exec t_proc t_comm
4096 16 0 256 167.440713 4.181136 163.259577 
4096 16 1 256 167.442875 14.356147 153.086728 
4096 16 2 256 167.434459 23.456372 143.978087 
4096 16 3 256 167.444811 31.259494 136.185317 
4096 16 4 256 167.441379 39.561294 127.880085 
4096 16 5 256 167.438190 48.033646 119.404544 
4096 16 6 256 167.445838 50.863691 116.582147 
4096 16 7 256 167.435076 51.855042 115.580035 
4096 16 8 256 167.444420 55.998153 111.446267 
4096 16 9 256 167.439650 60.443292 106.996358 
4096 16 10 256 167.432580 58.879486 108.553094 
4096 16 11 256 167.442860 62.572219 104.870641 
4096 16 12 256 167.439845 63.906245 103.533600 
4096 16 13 256 167.418526 65.503842 101.914684 
4096 16 14 256 167.441323 67.370394 100.070929 
4096 16 15 256 167.424269 63.251161 104.173108 
