N size rank blocking_factor t_exec t_proc t_comm
4096 16 0 256 149.642276 53.803911 95.838365 
4096 16 1 256 149.636050 53.101447 96.534603 
4096 16 2 256 149.632998 51.282865 98.350133 
4096 16 3 256 149.629220 50.271944 99.357276 
4096 16 4 256 149.631293 50.167689 99.463604 
4096 16 5 256 149.632854 50.730627 98.902227 
4096 16 6 256 149.638568 51.415937 98.222632 
4096 16 7 256 149.630959 48.703481 100.927478 
4096 16 8 256 149.634219 47.047311 102.586908 
4096 16 9 256 149.632507 51.599641 98.032866 
4096 16 10 256 149.645208 53.506971 96.138237 
4096 16 11 256 149.643498 46.343195 103.300303 
4096 16 12 256 149.645512 52.068997 97.576516 
4096 16 13 256 149.642936 52.172317 97.470619 
4096 16 14 256 149.636094 53.260827 96.375267 
4096 16 15 256 149.617721 47.579223 102.038499 
