N size rank blocking_factor t_exec t_proc t_comm
2048 16 0 128 21.780681 0.213511 21.567170 
2048 16 1 128 21.768057 0.439802 21.328255 
2048 16 2 128 21.766193 0.629494 21.136699 
2048 16 3 128 21.767864 0.921137 20.846727 
2048 16 4 128 21.767102 1.039384 20.727718 
2048 16 5 128 21.742460 1.236592 20.505868 
2048 16 6 128 21.766098 1.305441 20.460657 
2048 16 7 128 21.718935 1.450154 20.268781 
2048 16 8 128 21.728840 2.235774 19.493066 
2048 16 9 128 21.731537 2.452836 19.278701 
2048 16 10 128 21.743671 2.579691 19.163980 
2048 16 11 128 21.766173 2.645729 19.120444 
2048 16 12 128 21.769921 2.751706 19.018215 
2048 16 13 128 21.744435 2.793531 18.950904 
2048 16 14 128 21.728836 2.726978 19.001857 
2048 16 15 128 21.734762 2.754542 18.980220 
