N size rank blocking_factor t_exec t_proc t_comm
1024 16 0 64 3.750653 0.036663 3.713990 
1024 16 1 64 1.133467 0.042321 1.091146 
1024 16 2 64 1.436774 0.065716 1.371058 
1024 16 3 64 1.772336 0.086286 1.686050 
1024 16 4 64 2.079530 0.106219 1.973311 
1024 16 5 64 2.350246 0.125802 2.224444 
1024 16 6 64 2.547313 0.147340 2.399973 
1024 16 7 64 2.762405 0.161412 2.600993 
1024 16 8 64 2.891964 0.191575 2.700389 
1024 16 9 64 3.053101 0.292033 2.761069 
1024 16 10 64 3.184945 0.287028 2.897917 
1024 16 11 64 3.300094 0.270177 3.029917 
1024 16 12 64 3.416997 0.271764 3.145233 
1024 16 13 64 3.559755 0.293786 3.265969 
1024 16 14 64 3.651257 0.293893 3.357364 
1024 16 15 64 3.737971 0.308388 3.429583 
