N size rank blocking_factor t_exec t_proc t_comm
4096 16 0 256 180.933859 4.227233 176.706626 
4096 16 1 256 34.899836 14.797394 20.102443 
4096 16 2 256 52.339710 23.938888 28.400822 
4096 16 3 256 67.893497 34.610452 33.283045 
4096 16 4 256 80.771545 39.118768 41.652777 
4096 16 5 256 93.338755 47.486384 45.852371 
4096 16 6 256 104.061560 56.486364 47.575196 
4096 16 7 256 114.774791 54.036009 60.738782 
4096 16 8 256 124.864660 61.095899 63.768761 
4096 16 9 256 134.508194 59.970620 74.537574 
4096 16 10 256 142.854862 60.086413 82.768449 
4096 16 11 256 150.794158 55.928832 94.865326 
4096 16 12 256 158.663366 55.845299 102.818067 
4096 16 13 256 166.332994 62.986653 103.346341 
4096 16 14 256 173.783978 59.736127 114.047851 
4096 16 15 256 180.898088 51.497091 129.400997 
